Time,hex1,hex2,hex3
14:58:22,40,84,d0
14:58:22,40,84,d0
14:58:23,40,84,d0
14:58:23,40,84,d0
14:58:23,40,84,d0
14:58:23,40,84,d0
14:58:23,40,84,d0
14:58:23,40,84,d0
14:58:23,40,84,cf
14:58:23,40,84,cf
14:58:23,40,84,cf
14:58:23,40,84,cf
14:58:23,40,84,cf
14:58:23,40,84,cf
14:58:23,40,84,cf
14:58:23,40,84,cf
14:58:23,40,84,cf
14:58:23,40,84,cf
14:58:23,40,84,cf
14:58:23,40,84,d0
14:58:23,40,84,d0
14:58:23,40,84,d0
14:58:23,40,84,d0
14:58:23,40,84,d0
14:58:23,40,84,d0
14:58:23,40,84,d0
14:58:23,40,84,d0
14:58:23,40,84,d0
14:58:23,40,84,d0
14:58:23,40,84,d0
14:58:23,40,84,d0
14:58:23,40,84,d0
14:58:24,40,84,d0
14:58:24,40,84,d0
14:58:24,40,84,d0
14:58:24,40,84,d0
14:58:24,40,84,d1
14:58:24,40,84,d1
14:58:24,40,84,d1
14:58:24,40,84,d2
14:58:24,40,84,d2
14:58:24,40,84,d4
14:58:24,40,84,d5
14:58:24,40,84,d8
14:58:24,40,84,da
14:58:24,40,84,de
14:58:24,40,84,e2
14:58:24,40,84,e2
14:58:24,40,84,f5
14:58:24,40,84,fe
14:58:24,40,85,c8
14:58:24,40,85,d4
14:58:24,40,85,db
14:58:24,40,85,ef
14:58:24,40,85,f6
14:58:24,40,86,cb
14:58:24,40,86,cb
14:58:24,40,86,d4
14:58:24,40,86,ee
14:58:24,40,86,f7
14:58:24,40,87,d1
14:58:24,40,87,da
14:58:24,40,87,f6
14:58:25,40,88,c0
14:58:25,40,88,c0
14:58:25,40,88,da
14:58:25,40,88,e4
14:58:25,40,88,ff
14:58:25,40,89,d3
14:58:25,40,89,dc
14:58:25,40,89,f7
14:58:25,40,8a,cb
14:58:25,40,8a,df
14:58:25,40,8a,df
14:58:25,40,8a,e8
14:58:25,40,8b,c5
14:58:25,40,8b,cf
14:58:25,40,8b,ea
14:58:25,40,8b,f3
14:58:25,40,8c,cb
14:58:25,40,8c,d4
14:58:25,40,8c,eb
14:58:25,40,8c,eb
14:58:25,40,8c,f3
14:58:25,40,8d,c7
14:58:25,40,8d,ce
14:58:25,40,8d,d3
14:58:25,40,8d,eb
14:58:25,40,8d,f1
14:58:25,40,8d,f5
14:58:25,40,8d,f8
14:58:25,40,8d,f8
14:58:25,40,8e,c3
14:58:26,40,8e,c2
14:58:26,40,8e,c1
14:58:26,40,8e,c2
14:58:26,40,8e,c1
14:58:26,40,8e,c1
14:58:26,40,8e,c0
14:58:26,40,8e,c0
14:58:26,40,8e,c0
14:58:26,40,8e,c0
14:58:26,40,8e,c0
14:58:26,40,8e,c0
14:58:26,40,8e,c0
14:58:26,40,8e,c0
14:58:26,40,8e,c0
14:58:26,40,8e,c0
14:58:26,40,8e,c0
14:58:26,40,8e,c0
14:58:26,40,8d,ff
14:58:26,40,8d,ff
14:58:26,40,8d,ff
14:58:26,40,8d,ff
14:58:26,40,8d,ff
14:58:26,40,8d,ff
14:58:26,40,8d,ff
14:58:26,40,8d,ff
14:58:26,40,8d,ff
14:58:26,40,8d,ff
14:58:26,40,8d,ff
14:58:26,40,8d,ff
14:58:26,40,8d,ff
14:58:26,40,8d,ff
14:58:27,40,8d,ff
14:58:27,40,8d,ff
