Time,hex1,hex2,hex3
14:57:15,40,84,d5
14:57:15,40,84,d5
14:57:15,40,84,d5
14:57:15,40,84,d5
14:57:15,40,84,d6
14:57:15,40,84,d6
14:57:15,40,84,d6
14:57:15,40,84,d6
14:57:15,40,84,d6
14:57:15,40,84,d6
14:57:15,40,84,d6
14:57:15,40,84,d6
14:57:15,40,84,d6
14:57:15,40,84,d6
14:57:16,40,84,d6
14:57:16,40,84,d6
14:57:16,40,84,d6
14:57:16,40,84,d6
14:57:16,40,84,d7
14:57:16,40,84,d7
14:57:16,40,84,d7
14:57:16,40,84,d7
14:57:16,40,84,d7
14:57:16,40,84,d7
14:57:16,40,84,d7
14:57:16,40,84,d7
14:57:16,40,84,d7
14:57:16,40,84,d7
14:57:16,40,84,d7
14:57:16,40,84,d7
14:57:16,40,84,d7
14:57:16,40,84,d8
14:57:16,40,84,d8
14:57:16,40,84,d8
14:57:16,40,84,d8
14:57:16,40,84,d8
14:57:16,40,84,d8
14:57:16,40,84,d8
14:57:16,40,84,d8
14:57:16,40,84,d8
14:57:16,40,84,d8
14:57:16,40,84,d8
14:57:16,40,84,d8
14:57:16,40,84,d9
14:57:17,40,84,d9
14:57:17,40,84,d9
14:57:17,40,84,d9
14:57:17,40,84,d9
14:57:17,40,84,d9
14:57:17,40,84,d9
14:57:17,40,84,d9
14:57:17,40,84,d9
14:57:17,40,84,d9
14:57:17,40,84,d9
14:57:17,40,84,d9
14:57:17,40,84,d9
14:57:17,40,84,d9
14:57:17,40,84,d9
14:57:17,40,84,d9
14:57:17,40,84,d9
14:57:17,40,84,d9
14:57:17,40,84,da
14:57:17,40,84,da
14:57:17,40,84,da
14:57:17,40,84,da
14:57:17,40,84,da
14:57:17,40,84,da
14:57:17,40,84,da
14:57:17,40,84,da
14:57:17,40,84,da
14:57:17,40,84,da
14:57:17,40,84,da
14:57:17,40,84,da
14:57:17,40,84,da
14:57:17,40,84,da
14:57:18,40,84,da
14:57:18,40,84,da
14:57:18,40,84,db
14:57:18,40,84,db
14:57:18,40,84,db
14:57:18,40,84,db
14:57:18,40,84,db
14:57:18,40,84,db
14:57:18,40,84,db
14:57:18,40,84,db
14:57:18,40,84,db
14:57:18,40,84,db
14:57:18,40,84,db
14:57:18,40,84,db
14:57:18,40,84,db
14:57:18,40,84,db
14:57:18,40,84,dc
14:57:18,40,84,dc
14:57:18,40,84,dc
14:57:18,40,84,dc
14:57:18,40,84,dc
14:57:18,40,84,dc
14:57:18,40,84,dd
14:57:18,40,84,dd
14:57:18,40,84,dd
14:57:18,40,84,dd
14:57:18,40,84,de
14:57:18,40,84,de
14:57:18,40,84,df
14:57:18,40,84,df
14:57:19,40,84,df
14:57:19,40,84,e1
14:57:19,40,84,e3
14:57:19,40,84,e5
14:57:19,40,84,e9
14:57:19,40,84,ed
14:57:19,40,85,c0
14:57:19,40,85,c9
14:57:19,40,85,d4
14:57:19,40,85,d4
14:57:19,40,85,da
14:57:19,40,85,e0
14:57:19,40,85,fa
14:57:19,40,86,c1
14:57:19,40,86,d8
14:57:19,40,86,e1
14:57:19,40,86,f9
14:57:19,40,87,c1
14:57:19,40,87,c1
14:57:19,40,87,da
14:57:19,40,87,e3
14:57:19,40,87,ff
14:57:19,40,88,c8
14:57:19,40,88,e3
14:57:19,40,88,ec
14:57:19,40,89,c8
14:57:19,40,89,c8
14:57:19,40,89,d2
14:57:19,40,89,ec
14:57:19,40,89,f5
14:57:19,40,8a,cf
14:57:20,40,8a,d8
14:57:20,40,8a,f0
14:57:20,40,8a,f8
14:57:20,40,8b,cf
14:57:20,40,8b,cf
14:57:20,40,8b,d7
14:57:20,40,8b,ed
14:57:20,40,8b,f4
14:57:20,40,8c,c8
14:57:20,40,8c,cf
14:57:20,40,8c,e4
14:57:20,40,8c,eb
14:57:20,40,8c,f1
14:57:20,40,8c,f1
14:57:20,40,8d,ca
14:57:20,40,8d,d0
14:57:20,40,8d,d5
14:57:20,40,8d,da
14:57:20,40,8d,ef
14:57:20,40,8d,f3
14:57:20,40,8d,f5
14:57:20,40,8d,f5
14:57:20,40,8d,f5
14:57:20,40,8d,f3
14:57:20,40,8d,f4
14:57:20,40,8d,f5
14:57:20,40,8d,f4
14:57:20,40,8d,f4
14:57:20,40,8d,f4
14:57:20,40,8d,f4
14:57:20,40,8d,f4
14:57:21,40,8d,f4
14:57:21,40,8d,f4
14:57:21,40,8d,f4
14:57:21,40,8d,f4
14:57:21,40,8d,f3
14:57:21,40,8d,f3
14:57:21,40,8d,f3
14:57:21,40,8d,f3
14:57:21,40,8d,f3
14:57:21,40,8d,f3
14:57:21,40,8d,f3
14:57:21,40,8d,f3
14:57:21,40,8d,f3
14:57:21,40,8d,f3
14:57:21,40,8d,f3
