Time,US,LS
15:05:42,30.955,0.276
15:05:42,30.955,0.276
15:05:43,30.955,0.276
15:05:43,30.955,0.276
15:05:43,30.955,0.276
15:05:43,30.955,0.275
15:05:43,30.955,0.275
15:05:43,30.955,0.275
15:05:43,30.955,0.276
15:05:43,30.955,0.276
15:05:43,30.955,0.276
15:05:43,30.950625,0.277
15:05:44,30.950625,0.278
15:05:44,30.950625,0.283
15:05:44,30.950625,0.293
15:05:44,31.08625,0.317
15:05:44,31.29625,0.344
15:05:44,31.9525,0.381
15:05:44,32.9325,0.432
15:05:44,34.065625,0.463
15:05:44,36.008125,0.505
15:05:44,38.34875,0.564
15:05:45,41.6475,0.619
15:05:45,45.34875,0.656
15:05:45,48.844375,0.702
15:05:45,53.709375,0.76
15:05:45,58.50875,0.789
15:05:45,62.975625,0.828
15:05:45,68.601875,0.875
15:05:45,71.970625,0.91
15:05:45,77.295,0.919
15:05:45,80.34875,0.935
15:05:46,82.2475,0.934
15:05:46,86.075625,0.934
15:05:46,88.236875,0.934
15:05:46,89.383125,0.934
15:05:46,89.9825,0.934
15:05:46,90,0.933
15:05:46,90,0.933
15:05:46,90,0.933
15:05:46,90,0.932
15:05:46,90,0.932
15:05:47,90,0.931
15:05:47,90,0.93
15:05:47,90,0.93
15:05:47,90,0.93
