Time,US,LS
15:00:40,30.955,0.276
15:00:40,30.955,0.276
15:00:40,30.955,0.275
15:00:40,30.955,0.275
15:00:40,30.955,0.276
15:00:40,30.955,0.276
15:00:40,30.955,0.276
15:00:40,30.955,0.276
15:00:41,30.955,0.277
15:00:41,30.955,0.278
15:00:41,30.950625,0.279
15:00:41,31.0075,0.28
15:00:41,31.186875,0.283
15:00:41,31.29625,0.287
15:00:41,31.3575,0.296
15:00:41,31.589375,0.319
15:00:41,31.90875,0.343
15:00:41,32.350625,0.362
15:00:42,33.286875,0.385
15:00:42,34.39375,0.44
15:00:42,36.113125,0.48
15:00:42,38.515,0.515
15:00:42,40.90375,0.578
15:00:42,43.576875,0.622
15:00:42,46.989375,0.659
15:00:42,50.900625,0.718
15:00:42,55.95375,0.761
15:00:42,60.499375,0.817
15:00:43,65.705625,0.846
15:00:43,70.995,0.886
15:00:43,75.426875,0.902
15:00:43,80.515,0.915
15:00:43,83.4375,0.915
15:00:43,86.810625,0.915
15:00:43,88.621875,0.915
15:00:43,89.575625,0.914
15:00:43,90,0.914
15:00:43,90,0.914
15:00:44,90,0.914
15:00:44,90,0.914
15:00:44,90,0.914
15:00:44,90,0.914
15:00:44,90,0.914
15:00:44,90,0.914
15:00:44,90,0.913
15:00:44,90,0.913
15:00:44,90,0.913
