Time,US,LS
15:04:35,30.955,0.277
15:04:35,30.950625,0.277
15:04:35,30.950625,0.277
15:04:35,30.950625,0.277
15:04:35,30.950625,0.277
15:04:35,30.950625,0.277
15:04:36,30.950625,0.277
15:04:36,30.950625,0.277
15:04:36,30.950625,0.277
15:04:36,30.950625,0.277
15:04:36,30.950625,0.277
15:04:36,30.950625,0.279
15:04:36,30.94625,0.283
15:04:36,30.94625,0.289
15:04:36,31.038125,0.32
15:04:36,31.20875,0.343
15:04:37,31.825625,0.399
15:04:37,32.735625,0.434
15:04:37,34.2625,0.476
15:04:37,36.07375,0.532
15:04:37,38.43625,0.562
15:04:37,42.290625,0.601
15:04:37,46.088125,0.651
15:04:37,50.121875,0.685
15:04:37,54.81625,0.717
15:04:37,58.863125,0.758
15:04:38,63.11125,0.795
15:04:38,67.565,0.833
15:04:38,70.23375,0.844
15:04:38,74.604375,0.876
15:04:38,78.305625,0.905
15:04:38,81.9325,0.926
15:04:38,85.625,0.927
15:04:38,87.991875,0.929
15:04:38,89.251875,0.928
15:04:38,89.9125,0.928
15:04:39,90,0.928
15:04:39,90,0.928
15:04:39,90,0.928
15:04:39,90,0.928
15:04:39,90,0.928
15:04:39,90,0.928
15:04:39,90,0.927
15:04:39,90,0.927
15:04:39,90,0.926
15:04:39,90,0.925
15:04:40,90,0.925
15:04:40,90,0.925
15:04:40,90,0.925
15:04:40,90,0.925
15:04:40,90,0.925
