Time,US,LS
14:48:31,32.586875,0.283
14:48:31,32.586875,0.283
14:48:32,32.586875,0.283
14:48:32,32.586875,0.283
14:48:32,32.586875,0.283
14:48:32,32.586875,0.283
14:48:32,32.586875,0.283
14:48:32,32.586875,0.283
14:48:32,32.586875,0.283
14:48:32,32.586875,0.283
14:48:32,32.50375,0.283
14:48:32,32.3725,0.283
14:48:33,32.3725,0.283
14:48:33,32.45125,0.284
14:48:33,32.499375,0.288
14:48:33,32.53,0.295
14:48:33,32.551875,0.336
14:48:33,32.744375,0.371
14:48:33,33.32625,0.434
14:48:33,34.450625,0.475
14:48:33,36.135,0.545
14:48:33,38.31375,0.623
14:48:34,42.2425,0.676
14:48:34,46.6175,0.761
14:48:34,51.5,0.848
14:48:34,58.338125,0.934
14:48:34,64.865625,0.992
14:48:34,72.303125,1.079
14:48:34,79.605,1.161
14:48:34,83.634375,1.211
14:48:34,86.871875,1.285
14:48:34,88.621875,1.34
14:48:35,89.558125,1.397
14:48:35,90,1.423
14:48:35,90,1.458
14:48:35,90,1.487
14:48:35,90,1.499
14:48:35,90,1.524
14:48:35,90,1.523
14:48:35,90,1.521
14:48:35,90,1.519
