Time,US,LS
15:02:59,30.950625,0.275
15:03:00,30.950625,0.274
15:03:00,30.950625,0.274
15:03:00,30.950625,0.275
15:03:00,30.950625,0.275
15:03:00,30.950625,0.275
15:03:00,30.950625,0.275
15:03:00,30.94625,0.275
15:03:00,30.94625,0.275
15:03:00,30.94625,0.275
15:03:00,30.94625,0.276
15:03:01,30.94625,0.278
15:03:01,30.94625,0.28
15:03:01,30.94625,0.286
15:03:01,30.96375,0.297
15:03:01,31.151875,0.323
15:03:01,31.48875,0.351
15:03:01,31.9175,0.374
15:03:01,33.076875,0.425
15:03:01,34.468125,0.451
15:03:01,36.165625,0.492
15:03:02,38.125625,0.527
15:03:02,40.435625,0.554
15:03:02,43.926875,0.606
15:03:02,47.29125,0.645
15:03:02,50.485,0.699
15:03:02,54.5975,0.73
15:03:02,58.408125,0.767
15:03:02,62.385,0.815
15:03:02,67.25875,0.851
15:03:02,70.12875,0.862
15:03:03,74.8975,0.893
15:03:03,82.890625,0.923
15:03:03,86.346875,0.926
15:03:03,88.376875,0.925
15:03:03,89.44875,0.924
15:03:03,90,0.923
15:03:03,90,0.923
15:03:03,90,0.923
15:03:03,90,0.923
15:03:03,90,0.922
15:03:04,90,0.922
15:03:04,90,0.922
15:03:04,90,0.922
15:03:04,90,0.922
15:03:04,90,0.921
15:03:04,90,0.921
15:03:04,90,0.921
15:03:04,90,0.921
15:03:04,90,0.921
15:03:04,90,0.921
15:03:05,90,0.921
15:03:05,90,0.921
15:03:05,90,0.921
