Time,US,LS
14:57:17,31.974375,0.288
14:57:17,31.99625,0.288
14:57:17,32.009375,0.288
14:57:17,32.018125,0.288
14:57:17,32.0225,0.288
14:57:18,32.0225,0.288
14:57:18,32.026875,0.289
14:57:18,32.03125,0.289
14:57:18,32.03125,0.289
14:57:18,32.03125,0.289
14:57:18,32.03125,0.29
14:57:18,32.03125,0.29
14:57:18,32.03125,0.291
14:57:18,32.03125,0.292
14:57:18,32.03125,0.296
14:57:19,32.1275,0.306
14:57:19,32.29375,0.333
14:57:19,32.569375,0.36
14:57:19,33.04625,0.402
14:57:19,33.864375,0.435
14:57:19,35.623125,0.494
14:57:19,37.605,0.538
14:57:19,40.076875,0.602
14:57:19,43.4675,0.638
14:57:19,47.155625,0.681
14:57:20,51.985625,0.734
14:57:20,56.44375,0.764
14:57:20,61.34375,0.805
14:57:20,66.61125,0.843
14:57:20,70.999375,0.874
14:57:20,75.706875,0.88
14:57:20,79.005625,0.887
14:57:20,83.04375,0.889
14:57:20,86.355625,0.887
14:57:20,88.359375,0.887
14:57:21,89.426875,0.887
