Time,US,LS
14:58:23,30.94625,0.275
14:58:23,30.94625,0.275
14:58:23,30.94625,0.274
14:58:23,30.94625,0.275
14:58:23,30.94625,0.275
14:58:23,30.94625,0.275
14:58:23,30.94625,0.275
14:58:23,30.94625,0.275
14:58:23,30.94625,0.275
14:58:24,30.94625,0.276
14:58:24,30.94625,0.278
14:58:24,30.94625,0.281
14:58:24,30.94625,0.289
14:58:24,31.090625,0.319
14:58:24,31.27,0.336
14:58:24,31.545625,0.375
14:58:24,32.34625,0.432
14:58:24,33.32625,0.475
14:58:24,35.365,0.511
14:58:25,37.85,0.575
14:58:25,40.5625,0.622
14:58:25,43.86125,0.67
14:58:25,47.619375,0.716
14:58:25,52.71625,0.778
14:58:25,57.80875,0.818
14:58:25,62.398125,0.845
14:58:25,73.650625,0.881
14:58:25,78.5375,0.901
14:58:25,83.774375,0.899
14:58:26,86.968125,0.899
14:58:26,88.355,0.898
14:58:26,89.426875,0.898
14:58:26,89.995625,0.898
14:58:26,90,0.898
14:58:26,90,0.898
