Time,US,LS
14:51:23,32.035625,0.277
14:51:23,32.035625,0.277
14:51:24,32.035625,0.277
14:51:24,32.035625,0.277
14:51:24,32.035625,0.277
14:51:24,32.035625,0.277
14:51:24,32.035625,0.277
14:51:24,32.035625,0.277
14:51:24,32.035625,0.277
14:51:24,32.035625,0.277
14:51:24,32.035625,0.278
14:51:24,32.035625,0.279
14:51:25,32.035625,0.281
14:51:25,32.035625,0.287
14:51:25,32.035625,0.296
14:51:25,32.035625,0.336
14:51:25,32.18,0.37
14:51:25,32.46875,0.427
14:51:25,33.488125,0.465
14:51:25,35.1025,0.528
14:51:25,39.613125,0.595
14:51:25,42.903125,0.639
14:51:26,47.3875,0.704
14:51:26,52.71625,0.768
14:51:26,57.695,0.827
14:51:26,64.078125,0.859
14:51:26,70.220625,0.896
14:51:26,75.48375,0.919
14:51:26,78.52875,0.922
14:51:26,82.085625,0.922
14:51:26,85.253125,0.925
14:51:26,87.755625,0.926
14:51:27,89.09875,0.926
