Time,US,LS
14:48:31,32.586875,28.300000000000004
14:48:32,32.586875,28.300000000000004
14:48:32,32.50375,28.300000000000004
14:48:32,32.3725,28.300000000000004
14:48:33,32.3725,28.300000000000004
14:48:33,32.45125,28.4
14:48:33,32.499375,28.800000000000004
14:48:33,32.53,29.5
14:48:33,32.551875,33.6
14:48:33,32.744375,37.1
14:48:33,33.32625,43.4
14:48:33,34.450625,47.5
14:48:33,36.135,54.50000000000001
14:48:33,38.31375,62.3
14:48:34,42.2425,67.6
14:48:34,46.6175,76.1
14:48:34,51.5,84.8
14:48:34,58.338125,93.4
14:48:34,64.865625,99.2
14:48:34,72.303125,107.9
14:48:34,79.605,116.1
14:48:34,83.634375,121.09999999999998
14:48:34,86.871875,128.5
14:48:34,88.621875,134.0
14:48:35,89.558125,139.7
14:48:35,90.0,142.3
14:48:35,90.0,145.8
14:48:35,90.0,148.7
14:48:35,90.0,149.9
14:48:35,90.0,152.4
14:48:35,90.0,152.3
14:48:35,90.0,152.1
14:48:35,90.0,151.9
