Time,US,LS
15:00:40,30.955,27.6
15:00:40,30.955,27.500000000000004
15:00:41,30.955,27.699999999999996
15:00:41,30.955,27.800000000000004
15:00:41,30.950625,27.9
15:00:41,31.0075,28.000000000000004
15:00:41,31.186875,28.300000000000004
15:00:41,31.29625,28.7
15:00:41,31.3575,29.600000000000005
15:00:41,31.589375,31.900000000000002
15:00:41,31.90875,34.3
15:00:41,32.350625,36.2
15:00:42,33.286875,38.5
15:00:42,34.39375,44.0
15:00:42,36.113125,48.0
15:00:42,38.515,51.5
15:00:42,40.90375,57.8
15:00:42,43.576875,62.2
15:00:42,46.989375,65.9
15:00:42,50.900625,71.8
15:00:42,55.95375,76.1
15:00:42,60.499375,81.7
15:00:43,65.705625,84.6
15:00:43,70.995,88.6
15:00:43,75.426875,90.2
15:00:43,80.515,91.5
15:00:43,83.4375,91.5
15:00:43,86.810625,91.5
15:00:43,88.621875,91.5
15:00:43,89.575625,91.4
15:00:43,90.0,91.4
15:00:44,90.0,91.4
15:00:44,90.0,91.3
