Time,US,LS
15:02:59,30.950625,27.500000000000004
15:03:00,30.950625,27.399999999999995
15:03:00,30.950625,27.500000000000004
15:03:00,30.94625,27.500000000000004
15:03:00,30.94625,27.6
15:03:01,30.94625,27.800000000000004
15:03:01,30.94625,28.000000000000004
15:03:01,30.94625,28.6
15:03:01,30.96375,29.7
15:03:01,31.151875,32.3
15:03:01,31.48875,35.1
15:03:01,31.9175,37.4
15:03:01,33.076875,42.5
15:03:01,34.468125,45.1
15:03:01,36.165625,49.2
15:03:02,38.125625,52.7
15:03:02,40.435625,55.39999999999999
15:03:02,43.926875,60.6
15:03:02,47.29125,64.5
15:03:02,50.485,69.9
15:03:02,54.5975,73.0
15:03:02,58.408125,76.7
15:03:02,62.385,81.5
15:03:02,67.25875,85.1
15:03:02,70.12875,86.2
15:03:03,74.8975,89.3
15:03:03,82.890625,92.3
15:03:03,86.346875,92.6
15:03:03,88.376875,92.5
15:03:03,89.44875,92.4
15:03:03,90.0,92.3
15:03:03,90.0,92.2
15:03:04,90.0,92.2
15:03:04,90.0,92.1
15:03:05,90.0,92.1
