Time,US,LS
14:46:40,31.48875,0.278
14:46:40,31.48875,0.278
14:46:40,31.48875,0.278
14:46:41,31.48875,0.278
14:46:41,31.48875,0.278
14:46:41,31.48875,0.278
14:46:41,31.48875,0.278
14:46:41,31.48875,0.278
14:46:41,31.48875,0.278
14:46:41,31.48875,0.278
14:46:41,31.48875,0.278
14:46:41,31.48875,0.278
14:46:41,31.48875,0.278
14:46:42,31.48875,0.28
14:46:42,31.48875,0.286
14:46:42,31.48875,0.293
14:46:42,31.624375,0.333
14:46:42,31.795,0.368
14:46:42,32.831875,0.401
14:46:42,33.825,0.471
14:46:42,36.3975,0.537
14:46:42,39.446875,0.61
14:46:42,42.93375,0.66
14:46:43,46.95,0.736
14:46:43,51.61375,0.816
14:46:43,58.1675,0.895
14:46:43,64.87875,0.944
14:46:43,71.218125,1.017
14:46:43,79.395,1.088
14:46:43,84.474375,1.131
14:46:43,87.309375,1.193
14:46:43,88.845,1.245
14:46:43,89.505625,1.31
14:46:44,90,1.341
14:46:44,90,1.377
14:46:44,90,1.411
14:46:44,90,1.419
14:46:44,90,1.451
14:46:44,90,1.467
14:46:44,90,1.471
14:46:44,90,1.478
14:46:44,90,1.485
14:46:44,90,1.489
14:46:45,90,1.488
14:46:45,90,1.487
