Time,US,LS
14:58:23,30.94625,27.500000000000004
14:58:23,30.94625,27.399999999999995
14:58:24,30.94625,27.6
14:58:24,30.94625,27.800000000000004
14:58:24,30.94625,28.1
14:58:24,30.94625,28.9
14:58:24,31.090625,31.900000000000002
14:58:24,31.27,33.6
14:58:24,31.545625,37.5
14:58:24,32.34625,43.2
14:58:24,33.32625,47.5
14:58:24,35.365,51.1
14:58:25,37.85,57.49999999999999
14:58:25,40.5625,62.2
14:58:25,43.86125,67.0
14:58:25,47.619375,71.6
14:58:25,52.71625,77.8
14:58:25,57.80875,81.8
14:58:25,62.398125,84.5
14:58:25,73.650625,88.1
14:58:25,78.5375,90.1
14:58:25,83.774375,89.9
14:58:26,86.968125,89.9
14:58:26,88.355,89.8
14:58:26,89.426875,89.8
14:58:26,89.995625,89.8
14:58:26,90.0,89.8
