Time,US,LS
15:01:55,30.94625,27.500000000000004
15:01:56,30.94625,27.500000000000004
15:01:56,30.94625,27.6
15:01:56,30.94625,27.699999999999996
15:01:56,30.94625,28.199999999999996
15:01:56,31.003125,29.100000000000005
15:01:56,31.1825,30.0
15:01:56,31.440625,33.9
15:01:56,31.795,37.4
15:01:57,32.67,40.9
15:01:57,33.99125,44.1
15:01:57,35.40875,49.7
15:01:57,38.090625,54.1
15:01:57,40.129375,58.9
15:01:57,43.603125,63.5
15:01:57,47.908125,70.0
15:01:57,51.9025,74.6
15:01:57,56.9775,77.9
15:01:57,62.2275,81.2
15:01:58,66.935,84.4
15:01:58,72.740625,85.2
15:01:58,76.14875,89.2
15:01:58,80.69875,91.2
15:01:58,84.68875,92.0
15:01:58,87.48,91.9
15:01:58,88.97625,91.9
15:01:58,89.76375,91.8
15:01:58,90.0,91.8
15:01:59,90.0,91.8
15:01:59,90.0,91.7
15:01:59,90.0,91.6
15:02:00,90.0,91.6
